Articles,WOS Citation Count,Scopus Citation Count,Reporting Catergories Mentioned,Total Reporting Score,Years Since Publication,Citation Density,Article Link,Full-Screening Doc
Effects of Brain-Computer Interface-controlled Functional Electrical Stimulation Training on Shoulder Subluxation for Patients with Stroke: A Randomized Controlled Trial,71,64,"Age, sex",2,10,6.4,https://onlinelibrary.wiley.com/doi/epdf/10.1002/oti.1422,Cindy
Long-Term Training with a Brain-Machine Interface-Based Gait Protocol Induces Partial Neurological Recovery in Paraplegic Patients,135,374,"Age, sex",2,10,37.4,https://www.nature.com/articles/srep30383,Katiabel and Tilak
"Training with brain-machine interfaces, visuotactile feedback and assisted locomotion improves sensorimotor, visceral, and psychological signs in chronic paraplegic patients",41,43,"Age, sex",2,8,5.375,https://pmc.ncbi.nlm.nih.gov/articles/PMC6264837/,Kamila and Tanvi
DiSCIoser: unlocking recovery potential of arm sensorimotor functions after spinal cord injury by promoting activity-dependent brain plasticity by means of brain-computer interface technology: a randomized controlled trial to test efficacy,21,21,Age,1,3,7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10662594/,Harshini and Shriya
Activation of a Rhythmic Lower Limb Movement Pattern during the Use of a Multimodal Brain-Computer Interface: A Case Study of a Clinically Complete Spinal Cord Injury,15,12,"Age, sex",2,2,6,https://www.mdpi.com/2075-1729/14/3/396,"Harshini, Shriya, and Anya"
New Approaches Based on Non-Invasive Brain Stimulation and Mental Representation Techniques Targeting Pain in Parkinson's Disease Patients: Two Study Protocols for Two Randomized Controlled Trials,6,6,"Age, sex",2,5,1.2,https://www.mdpi.com/2076-3425/11/1/65,"Erinina, Elaine, and Rhea"
Neurofeedback Training without Explicit Phantom Hand Movements and Hand-Like Visual Feedback to Modulate Pain: A Randomized Crossover Feasibility Trial,7,7,"Age, sex",2,4,1.75,https://www.sciencedirect.com/science/article/pii/S1526590022003686,"Erinina, Elaine, and Rhea"
Does feedback based on FES-evoked nociceptive withdrawal reflex condition event-related desynchronization? An exploratory study with brain-computer interfaces,1,1,"Age, sex",2,5,0.2,https://pubmed.ncbi.nlm.nih.gov/34431480/,"Misha, Ananya, and Abhimanyu"
EEG-based brain–computer interface with immersive virtual reality for phantom limb pain: a single-center pilot neurofeedback trial,N/A,0,"Age, sex",2,0,0,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2026.1697837/full,Misha and Ananya
"The Promotoer, a brain-computer interface-assisted intervention to promote upper limb functional motor recovery after stroke: A study protocol for a randomized controlled trial to test early and long-term efficacy and to identify determinants of response",32,32,Age ,1,6,5.333333333,https://link.springer.com/article/10.1186/s12883-020-01826-w,
Brain-computer interface-based robotic end effector system for wrist and hand rehabilitation: Results of a three-armed randomized controlled trial for chronic stroke,N/A,297,"Age, sex",2,12,24.75,https://www.frontiersin.org/journals/neuroengineering/articles/10.3389/fneng.2014.00030/full,
